country,region,continent
Benin,Western Africa,Africa
Burkina Faso,Western Africa,Africa
Cape Verde,Western Africa,Africa
"Cote d'Ivoire",Western Africa,Africa
Gambia,Western Africa,Africa
Ghana,Western Africa,Africa
Guinea,Western Africa,Africa
Guinea-Bissau,Western Africa,Africa
Liberia,Western Africa,Africa
Mali,Western Africa,Africa
Mauritania,Western Africa,Africa
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Saint Helena,Western Africa,Africa
Senegal,Western Africa,Africa
Sierra Leone,Western Africa,Africa
Togo,Western Africa,Africa
Botswana,Southern Africa,Africa
Lesotho,Southern Africa,Africa
Namibia,Southern Africa,Africa
South Africa,Southern Africa,Africa
Swaziland,Southern Africa,Africa
Algeria,Northern Africa,Africa
Egypt,Northern Africa,Africa
Libya,Northern Africa,Africa
Morocco,Northern Africa,Africa
South Sudan,Northern Africa,Africa
Sudan,Northern Africa,Africa
Tunisia,Northern Africa,Africa
Western Sahara,Northern Africa,Africa
Angola,Middle Africa,Africa
Cameroon,Middle Africa,Africa
Central African Republic,Middle Africa,Africa
Chad,Middle Africa,Africa
"Congo, Democratic Republic of",Middle Africa,Africa
Equatorial Guinea,Middle Africa,Africa
Gabon,Middle Africa,Africa
"Republic of The Congo (Brazzaville)",Middle Africa,Africa
Sao Tome and Principe,Middle Africa,Africa
Burundi,Eastern Africa,Africa
Comoros,Eastern Africa,Africa
Djibouti,Eastern Africa,Africa
Eritrea,Eastern Africa,Africa
Ethiopia,Eastern Africa,Africa
Kenya,Eastern Africa,Africa
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Mauritius,Eastern Africa,Africa
Mozambique,Eastern Africa,Africa
Rwanda,Eastern Africa,Africa
Seychelles,Eastern Africa,Africa
Somalia,Eastern Africa,Africa
"Tanzania, United Republic of",Eastern Africa,Africa
Uganda,Eastern Africa,Africa
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
