country,eltype,year,vt,vote,reg,vapvt,vap,pop,invot,fhav,fhpr,fhcl,comp
Afghanistan,Parliamentary,2005,49.37,6406615.0,12977336.0,51.71,12389532.0,26334702.0,5.1,5.0,5.0,5.0,No
Afghanistan,Parliamentary,2010,45.83,4216594.0,9200000.0,29.71,14191908.0,29120727.0,4.42,6.0,6.0,6.0,No
Afghanistan,Presidential,2004,83.66,8128940.0,9716413.0,67.54,12035602.0,25697635.0,1.28,5.5,5.0,6.0,No
Afghanistan,Presidential,2009,38.8,4823090.0,12430644.0,35.06,13757508.0,28483631.0,4.67,5.5,5.0,6.0,No
Afghanistan,Presidential,2014,38.9,8109493.0,20845988.0,50.03,16208255.0,31822848.0,1.68,6.0,6.0,6.0,No
Albania,Parliamentary,1991,98.92,1963568.0,1984933.0,98.89,1985550.0,3255000.0,,4.0,4.0,4.0,No
Albania,Parliamentary,1992,91.5,1830000.0,2000000.0,89.21,2051430.0,3363000.0,,3.5,4.0,3.0,No
Albania,Parliamentary,1996,89.08,1963344.0,2204002.0,89.53,2193030.0,3481000.0,,4.0,4.0,4.0,No
Albania,Parliamentary,1997,72.56,1412929.0,1947235.0,63.4,2228430.0,3510500.0,,4.0,4.0,4.0,No
Albania,Parliamentary,2001,54.95,1373210.0,2499238.0,67.3,2040574.0,3490435.0,3.6,3.5,3.0,4.0,No
Albania,Parliamentary,2005,48.73,1389320.0,2850821.0,58.96,2356387.0,3563112.0,1.58,3.0,3.0,3.0,No
Albania,Parliamentary,2009,50.77,1566079.0,3084946.0,69.11,2266221.0,3194417.0,2.99,3.0,3.0,3.0,No
Albania,Parliamentary,2013,53.31,1744261.0,3271885.0,76.68,2274815.0,3011405.0,1.84,3.0,3.0,3.0,No
Algeria,Parliamentary,1991,59.0,7822625.0,13258554.0,60.07,13021830.0,25553000.0,11.8,4.0,4.0,4.0,No
Algeria,Parliamentary,1997,65.6,10999139.0,16767309.0,74.13,14838069.0,29245552.0,4.6,6.0,6.0,6.0,No
Algeria,Parliamentary,2002,46.17,8288536.0,17951127.0,45.08,18386639.0,31736053.0,10.5,5.5,6.0,5.0,No
Algeria,Parliamentary,2007,35.51,6662383.0,18760400.0,32.02,20806940.0,33333216.0,14.4,5.5,6.0,5.0,No
Algeria,Parliamentary,2012,43.14,9339026.0,21645841.0,38.7,24130650.0,35406303.0,,5.5,6.0,5.0,No
Algeria,Presidential,1995,75.69,12087281.0,15969904.0,80.1,15090300.0,25533000.0,3.9,6.0,6.0,6.0,No
Algeria,Presidential,1999,60.91,10652623.0,17488757.0,63.77,16705217.0,30932382.0,,5.5,6.0,5.0,No
Algeria,Presidential,2004,58.07,10508777.0,18097225.0,53.6,19605085.0,32818500.0,3.1,5.5,6.0,5.0,No
Algeria,Presidential,2009,74.56,15356024.0,20595683.0,65.86,23315450.0,34178188.0,6.02,5.5,6.0,5.0,No
Algeria,Presidential,2014,49.42,11307478.0,22880678.0,43.57,25951372.0,38813722.0,,5.5,6.0,5.0,No
Andorra,Parliamentary,1993,80.92,7829.0,9675.0,80.92,9675.0,63000.0,,1.5,2.0,1.0,No
Andorra,Parliamentary,1997,81.59,8842.0,10837.0,81.59,10837.0,70000.0,5.19,1.0,1.0,1.0,No
Andorra,Parliamentary,2001,81.64,10892.0,13342.0,15.94,68338.0,67627.0,5.7,1.0,1.0,1.0,No
Andorra,Parliamentary,2005,80.38,12879.0,16022.0,21.02,61268.0,71201.0,0.9,1.0,1.0,1.0,No
Andorra,Parliamentary,2009,75.34,15293.0,20298.0,25.98,58867.0,83888.0,0.89,1.0,1.0,1.0,No
Andorra,Parliamentary,2011,74.12,16197.0,21852.0,23.38,69267.0,84825.0,4.24,1.0,1.0,1.0,No
Andorra,Parliamentary,2015,65.62,16084.0,24512.0,22.97,70017.0,85458.0,8.17,1.0,1.0,1.0,No
Angola,Parliamentary,1992,86.91,4196388.0,4828626.0,84.16,4986230.0,10609000.0,12.98,6.0,6.0,6.0,No
Angola,Parliamentary,2008,87.36,7213281.0,8256854.0,92.42,7804962.0,16102061.0,10.58,5.5,6.0,5.0,No
Angola,Parliamentary,2012,62.75,6123914.0,9757671.0,71.58,8554966.0,18056072.0,,5.5,6.0,5.0,No
Angola,Presidential,1992,90.37,4363646.0,4828626.0,87.51,4986230.0,10609000.0,13.09,6.0,6.0,6.0,No
Anguilla,Parliamentary,1972,46.92,1457.0,3105.0,,,6318.0,2.4,,,,No
Anguilla,Parliamentary,1976,71.67,2725.0,3802.0,,,6350.0,3.7,,,,No
Anguilla,Parliamentary,1980,79.16,2777.0,3508.0,,,6515.0,1.4,,,,No
Anguilla,Parliamentary,1984,72.17,2694.0,3733.0,,,6688.0,1.6,,,,No
