country,region,continent
Argentina,South America,Americas
Bolivia,South America,Americas
Brazil,South America,Americas
Chile,South America,Americas
Colombia,South America,Americas
Ecuador,South America,Americas
Falkland Islands (Malvinas),South America,Americas
Guyana,South America,Americas
Paraguay,South America,Americas
Peru,South America,Americas
Suriname,South America,Americas
Uruguay,South America,Americas
Venezuela,South America,Americas
Bermuda,North America,Americas
Canada,North America,Americas
Greenland,North America,Americas
United States,North America,Americas
Belize,Central America,Americas
Costa Rica,Central America,Americas
El Salvador,Central America,Americas
Guatemala,Central America,Americas
Honduras,Central America,Americas
Mexico,Central America,Americas
Nicaragua,Central America,Americas
Panama,Central America,Americas
Caribbean,Carribean,Americas
Anguilla,Carribean,Americas
Antigua and Barbuda,Carribean,Americas
Aruba,Carribean,Americas
Bahamas,Carribean,Americas
Barbados,Carribean,Americas
Cayman Islands,Carribean,Americas
Cuba,Carribean,Americas
Dominica,Carribean,Americas
Dominican Republic,Carribean,Americas
Grenada,Carribean,Americas
Haiti,Carribean,Americas
Jamaica,Carribean,Americas
Montserrat,Carribean,Americas
Netherlands Antilles,Carribean,Americas
Saint Kitts and Nevis,Carribean,Americas
Saint Lucia,Carribean,Americas
Saint Vincent and The Grenadines,Carribean,Americas
Trinidad and Tobago,Carribean,Americas
Turks and Caicos Islands,Carribean,Americas
"Virgin Islands, British",Carribean,Americas
