country,region,continent
Kazakhstan,Central Asia,Asia
Kyrgyzstan,Central Asia,Asia
Tajikistan,Central Asia,Asia
Turkmenistan,Central Asia,Asia
Uzbekistan,Central Asia,Asia
China,Eastern Asia,Asia
Hong Kong,Eastern Asia,Asia
Japan,Eastern Asia,Asia
"Korea, Dem. People's Republic of",Eastern Asia,Asia
"Korea, Republic of",Eastern Asia,Asia
Mongolia,Eastern Asia,Asia
Taiwan,Eastern Asia,Asia
Brunei Darussalam,South-Eastern Asia,Asia
Cambodia,South-Eastern Asia,Asia
Indonesia,South-Eastern Asia,Asia
"Lao, People's Dem. Republic",South-Eastern Asia,Asia
Malaysia,South-Eastern Asia,Asia
Myanmar,South-Eastern Asia,Asia
Philippines,South-Eastern Asia,Asia
Singapore,South-Eastern Asia,Asia
Thailand,South-Eastern Asia,Asia
Timor-Leste,South-Eastern Asia,Asia
Viet Nam,South-Eastern Asia,Asia
Afghanistan,Southern Asia,Asia
Bangladesh,Southern Asia,Asia
Bhutan,Southern Asia,Asia
India,Southern Asia,Asia
"Iran, Islamic Republic of",Southern Asia,Asia
Maldives,Southern Asia,Asia
Nepal,Southern Asia,Asia
Pakistan,Southern Asia,Asia
Sri Lanka,Southern Asia,Asia
Armenia,Western Asia,Asia
Azerbaijan,Western Asia,Asia
Bahrain,Western Asia,Asia
Georgia,Western Asia,Asia
Iraq,Western Asia,Asia
Israel,Western Asia,Asia
Jordan,Western Asia,Asia
Kuwait,Western Asia,Asia
Lebanon,Western Asia,Asia
Oman,Western Asia,Asia
"Palestinian Territory, Occupied",Western Asia,Asia
Qatar,Western Asia,Asia
Saudi Arabia,Western Asia,Asia
Syrian Arab Republic,Western Asia,Asia
Turkey,Western Asia,Asia
United Arab Emirates,Western Asia,Asia
Yemen,Western Asia,Asia
