country,region,continent
Belarus,Eastern Europe,Europe
Bulgaria,Eastern Europe,Europe
Czech Republic,Eastern Europe,Europe
Hungary,Eastern Europe,Europe
"Moldova, Republic of",Eastern Europe,Europe
Poland,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Slovakia,Eastern Europe,Europe
Ukraine,Eastern Europe,Europe
Denmark,Northern Europe,Europe
Estonia,Northern Europe,Europe
Finland,Northern Europe,Europe
Guernsey,Northern Europe,Europe
Iceland,Northern Europe,Europe
Ireland,Northern Europe,Europe
Isle of Man,Northern Europe,Europe
Jersey,Northern Europe,Europe
Latvia,Northern Europe,Europe
Lithuania,Northern Europe,Europe
Norway,Northern Europe,Europe
Sweden,Northern Europe,Europe
United Kingdom,Northern Europe,Europe
Albania,Southern Europe,Europe
Andorra,Southern Europe,Europe
Bosnia and Herzegovina,Southern Europe,Europe
Croatia,Southern Europe,Europe
Cyprus,Southern Europe,Europe
"Cyprus (North)",Southern Europe,Europe
Gibraltar,Southern Europe,Europe
Greece,Southern Europe,Europe
"Holy See (Vatican City State)",Southern Europe,Europe
Italy,Southern Europe,Europe
Kosovo,Southern Europe,Europe
"Macedonia, former Yugoslav Republic (1993-)",Southern Europe,Europe
Malta,Southern Europe,Europe
Montenegro,Southern Europe,Europe
Portugal,Southern Europe,Europe
San Marino,Southern Europe,Europe
Serbia,Southern Europe,Europe
Slovenia,Southern Europe,Europe
Spain,Southern Europe,Europe
"Yugoslavia, FR/Union of Serbia and Montenegro",Southern Europe,Europe
"Yugoslavia, SFR (1943-1992)",Southern Europe,Europe
Austria,Western Europe,Europe
Belgium,Western Europe,Europe
France,Western Europe,Europe
Germany,Western Europe,Europe
Liechtenstein,Western Europe,Europe
Luxembourg,Western Europe,Europe
Monaco,Western Europe,Europe
Netherlands,Western Europe,Europe
Switzerland,Western Europe,Europe
